Image	Object ID	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	d2ab5c20-392b-4174-8f88-048a4b5ea97e	PathCellObject		PathAnnotationObject	Polygon	6891.1	14059.7	0.8953	47.8021	25.2421	0.9428	0.9978	9.3074	6.6685	107.7997	37.8487	0.9456	1	13.9602	10.0024	0.4435	0.6999	0.6813	0.3295	1.3045	0.1844	0.4279	0.3931	0.1658	0.9696	0.1587	0.4096	0.3588	0.1912	0.9696	0.1843	0.548	0.5147	0.1658	1.3045	0.2175	0.1945	0.1811	0.0782	0.3845	0.0626	0.2802	0.2779	0.0852	0.4905	0.0757	0.2905	0.2999	0.0902	0.4892	0.0941	0.2423	0.2375	0.0782	0.4905	0.0821
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	2547666b-5307-4573-adce-c1bd3a30336e	PathCellObject		PathAnnotationObject	Polygon	6997.3	14172.4	0.8943	17.1339	14.8191	0.9804	1	4.9169	4.4652	38.554	22.2297	0.9804	1	7.3754	6.6983	0.4444	1.5501	1.6641	0.5079	2.3842	0.4334	0.4973	0.447	0.1826	1.4121	0.2496	0.45	0.3973	0.1826	1.1881	0.2432	0.9671	0.7558	0.1826	2.3842	0.6264	0.2933	0.2947	0.0599	0.5008	0.0967	0.3129	0.2979	0.0687	0.568	0.1436	0.3557	0.3353	0.1362	0.5608	0.127	0.3041	0.2951	0.0599	0.568	0.1252
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	ae5c73e6-c96d-466a-95b5-9dbb4e684a19	PathCellObject		PathAnnotationObject	Polygon	7062.6	14196	0.892	21.4553	16.5958	0.9789	1	5.6987	4.8797	48.279	24.8947	0.9789	1	8.5477	7.3203	0.4444	0.804	0.7995	0.4222	1.1269	0.1154	0.3994	0.3776	0.2281	0.728	0.1039	0.3768	0.3607	0.2281	0.728	0.1049	0.5794	0.5412	0.2281	1.1269	0.2288	0.2427	0.2367	0.0935	0.4173	0.0607	0.3097	0.295	0.0315	0.8391	0.1254	0.4009	0.3613	0.1812	0.8391	0.1524	0.2799	0.2622	0.0315	0.8391	0.107
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	721e75d5-b120-4949-ba62-70c3a18f0f57	PathCellObject		PathAnnotationObject	Polygon	7005.7	14067.7	0.8815	43.1588	23.5195	0.9804	0.9987	7.9584	7.1427	97.239	35.2749	0.982	1	11.938	10.7147	0.4439	0.7937	0.7972	0.4925	1.1891	0.1338	0.4145	0.3715	0.1328	1.1518	0.1877	0.3525	0.3049	0.1329	0.6869	0.1428	0.5836	0.5997	0.1328	1.1891	0.2511	0.1932	0.1908	0.1004	0.2994	0.036	0.206	0.2087	0.0502	0.3513	0.0617	0.2138	0.2268	0.0502	0.3266	0.0652	0.2003	0.1984	0.0502	0.3513	0.0522
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	f83edb25-7a7e-40a7-98b3-b8c2c001c26a	PathCellObject		PathAnnotationObject	Polygon	7017.7	14168.5	0.8773	50.2959	25.6038	0.9641	0.9978	9.1161	7.1608	113.4162	38.392	0.9669	1	13.6733	10.7403	0.4435	1.0591	1.0508	0.4419	1.5549	0.1778	0.4345	0.4047	0.0912	1.1084	0.1735	0.3065	0.2984	0.0912	0.6103	0.107	0.7103	0.6545	0.0912	1.5549	0.3563	0.2591	0.254	0.0893	0.5499	0.0643	0.2398	0.2425	0.0156	0.4545	0.1011	0.2073	0.1811	0.0156	0.4361	0.1123	0.2483	0.2499	0.0156	0.5499	0.0873
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	30a80a80-5ba4-4127-8c23-2d6970b9fb4b	PathCellObject		PathAnnotationObject	Polygon	6992.4	14107.7	0.8763	24.3686	17.9782	0.9474	0.9948	6.268	5.0287	55.1125	26.9432	0.954	1	9.4023	7.5426	0.4421	1.2858	1.347	0.3135	2.055	0.5264	0.3186	0.3191	0.1446	0.6508	0.0856	0.3121	0.3168	0.1657	0.4813	0.087	0.7478	0.4062	0.1446	2.055	0.5983	0.2579	0.2576	0.0509	0.5029	0.0922	0.2354	0.2202	0.0633	0.4805	0.106	0.2853	0.2637	0.0725	0.4805	0.1173	0.2454	0.238	0.0509	0.5029	0.1007
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	fa18b03b-473e-461f-bcae-86ed3ae69907	PathCellObject		PathAnnotationObject	Polygon	7034.9	14196.2	0.8762	26.94	19.1059	0.9274	0.9966	6.9177	4.967	60.8227	28.6429	0.9316	1	10.3759	7.4501	0.443	1.1096	1.0927	0.6458	1.6531	0.233	0.5354	0.5129	0.202	1.2242	0.2022	0.4605	0.4208	0.202	1.1207	0.2027	0.7876	0.7395	0.202	1.6531	0.3578	0.3469	0.3451	0.1979	0.5297	0.0647	0.3286	0.3235	0.0803	0.5806	0.1112	0.3382	0.3132	0.0833	0.5702	0.1181	0.3366	0.3382	0.0803	0.5806	0.0941
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	a4269693-abb8-4cd1-b375-7daa23b2f086	PathCellObject		PathAnnotationObject	Polygon	6944	14016	0.875	24.4913	17.9667	0.9534	0.9967	6.236	5.0833	55.2907	26.9264	0.9583	1	9.3544	7.6242	0.443	1.4015	1.4845	0.4777	1.8906	0.3136	0.3378	0.3007	0.0914	0.9975	0.1698	0.243	0.2519	0.0914	0.398	0.0892	0.8087	0.5776	0.0914	1.8906	0.5822	0.284	0.2902	0.0729	0.481	0.0659	0.1781	0.1837	-0.0071	0.3592	0.0741	0.1687	0.1835	-0.0071	0.3179	0.0932	0.225	0.2293	-0.0071	0.481	0.088
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	b394a2e8-745c-4136-8eca-e9a43cade068	PathCellObject		PathAnnotationObject	Polygon	6995.1	14080	0.8749	49.7226	25.2488	0.9801	1	8.6163	7.371	111.8786	37.8735	0.9801	1	12.9241	11.0575	0.4444	0.8329	0.8099	0.4659	1.5281	0.1833	0.4386	0.4106	0.24	1.0042	0.1141	0.4329	0.4122	0.2693	0.786	0.1068	0.6141	0.5566	0.24	1.5281	0.2462	0.2242	0.2234	0.0657	0.3756	0.0591	0.2765	0.2749	0.1494	0.4549	0.048	0.2986	0.2964	0.1882	0.4549	0.0543	0.2532	0.2533	0.0657	0.4549	0.0592
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	e8f6f280-bf65-4386-9bba-f9fca6f3c014	PathCellObject		PathAnnotationObject	Polygon	6870.8	14016.8	0.8748	26.3357	18.6635	0.9501	0.999	6.5719	5.2892	59.3147	27.9887	0.9515	1	9.8581	7.9335	0.444	1.0606	1.0338	0.4033	1.8858	0.2948	0.369	0.3506	0.1924	0.7689	0.0929	0.3351	0.3365	0.1924	0.4495	0.0574	0.6755	0.481	0.1924	1.8858	0.4017	0.3425	0.3195	0.1166	0.5741	0.1219	0.3652	0.3519	0.1494	0.6025	0.1175	0.4093	0.4221	0.188	0.6025	0.1116	0.3551	0.3373	0.1166	0.6025	0.1199
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	f0c989ad-367b-4976-9443-a00cc2244f92	PathCellObject		PathAnnotationObject	Polygon	6899.6	14072	0.8746	16.5007	14.6874	0.9612	0.9984	4.995	4.1835	37.1829	22.0172	0.9639	1	7.4918	6.2763	0.4437	1.5588	1.6613	0.5073	2.4235	0.4741	0.5236	0.4676	0.1668	1.3458	0.2744	0.394	0.3044	0.1668	0.9557	0.2306	0.9846	0.824	0.1668	2.4235	0.6377	0.2267	0.2163	-0.0261	0.5932	0.115	0.197	0.1904	0.0211	0.4685	0.1076	0.2163	0.2135	0.0407	0.4685	0.115	0.2102	0.2024	-0.0261	0.5932	0.1118
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	9482be6a-191a-41ad-a33b-2a109055637d	PathCellObject		PathAnnotationObject	Polygon	7069.7	14003.9	0.8733	45.3885	24.3499	0.962	0.9986	8.5847	6.6415	102.2607	36.5138	0.9638	1	12.8756	9.9627	0.4438	0.5579	0.5392	0.3086	0.8944	0.1258	0.368	0.3491	0.1481	0.8321	0.103	0.3436	0.3386	0.1681	0.6592	0.0802	0.4521	0.4228	0.1481	0.8944	0.1477	0.543	0.5706	0.1903	0.7797	0.1405	0.3721	0.3015	0.1178	0.8297	0.1822	0.3386	0.2864	0.1233	0.8297	0.1708	0.4477	0.4607	0.1178	0.8297	0.1856
PiDGiN1_016_1_1_1_HE_Default setting_Herhaling 2_08072024.czi - Scene #1	ea1c1654-a813-41a3-9cb9-2e51a2633dc9	PathCellObject		PathAnnotationObject	Polygon	7050.6	13997.4	0.8704	66.3335	29.3231	0.9694	0.9988	10.2904	8.2657	149.4263	43.975	0.971	1	15.4346	12.3973	0.4439	0.8004	0.8159	0.1407	1.5549	0.2739	0.4065	0.376	0.1066	1.0394	0.1829	0.3535	0.2629	0.1066	0.8747	0.2087	0.5811	0.5428	0.1066	1.5549	0.3002	0.1764	0.1789	-0.0269	0.5369	0.0869	0.2123	0.2187	0.0207	0.3729	0.0822	0.1832	0.1788	0.0211	0.3455	0.0854	0.1964	0.1973	-0.0269	0.5369	0.0862
