Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5283.5	903.95	0.8529	44.0281	24.1975	0.9449	0.9973	8.8004	6.3291	99.3243	36.2784	0.9484	1	13.2005	9.4935	0.4433	0.4273	0.4326	0.1321	0.6637	0.111	0.1357	0.1154	0.0394	0.3578	0.0648	0.0942	0.0886	0.0394	0.1601	0.0299	0.2665	0.214	0.0394	0.6637	0.17	0.7493	0.7512	0.6208	0.9046	0.0695	0.6235	0.6253	0.5295	0.7345	0.0378	0.6084	0.6151	0.5295	0.6843	0.0395	0.6799	0.654	0.5295	0.9046	0.0829
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5134.7	990.22	0.8505	59.9773	27.9338	0.9659	0.9954	9.6341	8.19	135.5725	41.8486	0.9728	1	14.4513	12.2847	0.4424	0.496	0.509	0.2841	0.6431	0.0737	0.1899	0.1868	0.0246	0.4651	0.0915	0.124	0.1068	0.0246	0.322	0.0734	0.3257	0.3037	0.0246	0.6431	0.1738	0.8734	0.8558	0.7605	1.0996	0.0675	0.7706	0.7691	0.5812	0.9762	0.0813	0.719	0.6964	0.5812	0.9185	0.086	0.8162	0.8192	0.5812	1.0996	0.0911
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5214.3	1060.4	0.8498	28.2984	19.1004	0.9747	0.998	6.4669	5.6207	63.8063	28.6364	0.9778	1	9.7007	8.432	0.4436	0.627	0.6359	0.1556	0.9652	0.201	0.1679	0.1188	0.0335	0.5961	0.1174	0.1344	0.0912	0.0335	0.5961	0.1339	0.367	0.2898	0.0335	0.9652	0.2778	0.6796	0.6686	0.5919	0.7886	0.044	0.6295	0.6274	0.5229	0.7482	0.041	0.6267	0.6266	0.5281	0.7342	0.0444	0.6512	0.6466	0.5229	0.7886	0.049
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5227.2	1073.1	0.8489	42.3728	23.7948	0.9404	0.9941	8.3969	6.7011	95.9086	35.6215	0.9498	1	12.5952	10.0521	0.4418	0.498	0.5072	0.1665	0.7582	0.1549	0.1613	0.1352	0.0645	0.4069	0.0787	0.1225	0.1042	0.0645	0.3252	0.0539	0.3097	0.2451	0.0645	0.7582	0.205	0.7106	0.7196	0.5578	0.8313	0.0611	0.6501	0.647	0.4792	0.8452	0.0707	0.6453	0.6471	0.4792	0.8411	0.0783	0.6768	0.6808	0.4792	0.8452	0.0731
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5214.1	928.4	0.8484	24.9779	17.9733	0.9717	0.9961	6.1611	5.2028	56.4196	26.9391	0.977	1	9.2419	7.8043	0.4427	0.5609	0.5343	0.189	0.9439	0.1801	0.188	0.1542	0.0405	0.4401	0.1074	0.1461	0.0965	0.0405	0.4401	0.1117	0.3473	0.3091	0.0405	0.9439	0.2335	0.6744	0.6664	0.6196	0.7793	0.0369	0.6358	0.6334	0.5611	0.7183	0.0292	0.6352	0.6324	0.5621	0.7183	0.0352	0.6523	0.6466	0.5611	0.7793	0.0378
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5307.8	1048.6	0.8411	28.2959	19.5837	0.9271	0.9901	7.0995	5.2356	64.3	29.2153	0.9467	1	10.649	7.8533	0.44	0.5872	0.591	0.2406	0.8757	0.1392	0.1673	0.1501	0.0075	0.4629	0.0878	0.1178	0.099	0.0075	0.3038	0.0684	0.347	0.2662	0.0075	0.8757	0.2366	0.7254	0.7171	0.549	0.8729	0.0651	0.6177	0.6177	0.4774	0.7172	0.0502	0.6159	0.6192	0.4774	0.6994	0.0502	0.6638	0.6556	0.4774	0.8729	0.0781
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5233.7	1035.8	0.841	31.0372	20.074	0.9679	0.9979	7.0171	5.6541	69.9822	30.0976	0.9708	1	10.5253	8.4811	0.4435	0.5599	0.5871	0.1998	0.7971	0.1382	0.1898	0.1688	0.0902	0.4529	0.0754	0.1371	0.1327	0.0902	0.2247	0.0272	0.354	0.2832	0.0902	0.7971	0.2133	0.6571	0.6569	0.5512	0.7996	0.0465	0.5872	0.5982	0.3842	0.6831	0.0601	0.5818	0.5946	0.3842	0.6831	0.066	0.6182	0.6224	0.3842	0.7996	0.0646
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5281.6	1006.4	0.8393	36.3636	21.9936	0.9447	0.9936	7.8981	5.7873	82.3456	32.9569	0.9527	1	11.8467	8.6812	0.4416	0.6256	0.6562	0.3124	0.9036	0.1036	0.2725	0.2663	0.0494	0.5637	0.1084	0.2101	0.196	0.0494	0.4323	0.0931	0.4283	0.4047	0.0494	0.9036	0.2052	0.7845	0.7912	0.6177	0.9378	0.0712	0.6627	0.6595	0.5354	0.8181	0.0584	0.6464	0.6392	0.5354	0.8	0.0626	0.7165	0.7018	0.5354	0.9378	0.0883
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5298.7	1060.2	0.838	29.2704	19.625	0.955	0.9907	6.8634	5.6988	66.4727	29.3093	0.9724	1	10.294	8.5481	0.4403	0.4577	0.4771	0.2681	0.559	0.0696	0.2236	0.2133	0.1086	0.3957	0.0638	0.1838	0.1815	0.1086	0.3401	0.0484	0.324	0.2926	0.1086	0.559	0.1336	0.6657	0.6684	0.5553	0.7706	0.0511	0.6167	0.6272	0.4901	0.7098	0.0566	0.6058	0.612	0.4901	0.6874	0.0565	0.6377	0.6396	0.4901	0.7706	0.0594
2022_01_17__40x_shading area verplaatst_onionskinadapted4 density 0.1_hg28_coarse 10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5157.4	1047.8	0.8379	29.8726	19.7998	0.9575	0.9964	6.9836	5.4693	67.4587	29.6509	0.9642	1	10.4757	8.2034	0.4428	0.6297	0.6712	0.2045	0.9439	0.1577	0.1729	0.1418	0.0247	0.5881	0.1079	0.1082	0.089	0.0247	0.2553	0.0621	0.3775	0.2867	0.0247	0.9439	0.2632	0.7395	0.7349	0.6728	0.8887	0.0392	0.7143	0.7137	0.5922	0.8374	0.0459	0.6921	0.6889	0.5922	0.8335	0.0514	0.7256	0.7248	0.5922	0.8887	0.0447
