Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5253.5	946.76	0.8571	26.132	18.3293	0.9774	0.9966	6.1362	5.6272	59.001	27.4578	0.9834	1	9.2056	8.4409	0.4429	0.5902	0.5974	0.1262	0.9845	0.2092	0.1112	0.0836	0.0139	0.4475	0.077	0.0653	0.0664	0.0139	0.1557	0.0256	0.3246	0.1946	0.0139	0.9845	0.2821	0.6476	0.6465	0.5412	0.7576	0.0538	0.5783	0.579	0.4031	0.6996	0.0755	0.577	0.5841	0.4063	0.6996	0.0821	0.6092	0.6109	0.4031	0.7576	0.075
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5313.1	1051.6	0.8571	27.986	19.2629	0.9478	0.99	6.8194	5.4437	63.6037	28.7894	0.9643	1	10.229	8.1654	0.44	0.7092	0.7352	0.1361	1.1557	0.2074	0.1684	0.162	-0.0112	0.5142	0.1067	0.1382	0.1436	0.016	0.4505	0.084	0.4044	0.2773	-0.0112	1.1557	0.3119	0.7111	0.704	0.6041	0.9117	0.0567	0.6308	0.6346	0.4913	0.7428	0.0539	0.6266	0.6331	0.4981	0.7233	0.0577	0.6659	0.668	0.4913	0.9117	0.068
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5166.3	1045.5	0.8568	32.0887	20.4597	0.9633	0.995	7.1261	5.829	72.5679	30.6355	0.9716	1	10.6902	8.7441	0.4422	0.6403	0.6928	0.1434	0.9574	0.172	0.1557	0.1182	0.0361	0.5625	0.1095	0.0999	0.0768	0.0361	0.329	0.0688	0.3678	0.2911	0.0361	0.9574	0.2785	0.7511	0.7507	0.6762	0.8303	0.0316	0.73	0.7327	0.624	0.8462	0.0495	0.7128	0.7021	0.624	0.8462	0.0575	0.7393	0.7411	0.624	0.8462	0.0438
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5338.4	965.11	0.8556	27.2408	18.7998	0.9685	0.9936	6.3148	5.6074	61.6892	28.1487	0.9784	1	9.4723	8.4112	0.4416	0.7062	0.7453	0.2171	1.0173	0.1812	0.2051	0.1763	0.0294	0.5943	0.1214	0.167	0.1474	0.0294	0.5814	0.1099	0.421	0.3116	0.0294	1.0173	0.2902	0.7429	0.7431	0.6077	0.8788	0.0586	0.705	0.7051	0.5615	0.8492	0.071	0.6979	0.7009	0.5615	0.844	0.0723	0.7214	0.7214	0.5615	0.8788	0.0685
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5305.7	987.4	0.8476	29.9021	19.6859	0.9696	0.995	6.7013	5.8801	67.6082	29.4704	0.9782	1	10.0512	8.8197	0.4422	0.6798	0.6916	0.2704	0.9601	0.1436	0.2039	0.1909	0.0404	0.5557	0.1079	0.1242	0.1045	0.0404	0.2751	0.062	0.4119	0.3385	0.0404	0.9601	0.2672	0.7009	0.6979	0.6269	0.8178	0.042	0.6767	0.6765	0.5849	0.8086	0.0371	0.6721	0.6594	0.5849	0.8086	0.0521	0.6873	0.6843	0.5849	0.8178	0.041
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5249	1010.9	0.8444	35.321	21.7327	0.9398	0.9938	7.7553	5.9996	79.9653	32.5177	0.9503	1	11.6324	8.9984	0.4417	0.5469	0.555	0.1929	0.7863	0.1384	0.1551	0.1237	0.0503	0.4363	0.0848	0.1005	0.0888	0.0503	0.2396	0.0398	0.3275	0.2741	0.0503	0.7863	0.2243	0.672	0.6744	0.5559	0.7603	0.0384	0.6327	0.6285	0.4932	0.7554	0.0611	0.621	0.6167	0.4932	0.7366	0.0645	0.65	0.6512	0.4932	0.7603	0.0558
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5278.1	942.95	0.8419	29.1078	19.3374	0.9782	0.9953	6.4203	5.9647	65.8016	28.9705	0.9852	1	9.6301	8.9459	0.4423	0.5809	0.5948	0.2011	0.9177	0.1597	0.1834	0.1526	0.0118	0.5401	0.0988	0.1271	0.1306	0.0118	0.2478	0.053	0.3589	0.2811	0.0118	0.9177	0.2361	0.7091	0.7226	0.5596	0.8173	0.0532	0.6041	0.6219	0.2977	0.8043	0.121	0.5805	0.6121	0.2977	0.8043	0.1425	0.6505	0.6773	0.2977	0.8173	0.1102
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5169.2	1032.3	0.8417	24.172	17.7356	0.9657	0.993	5.9843	5.3298	54.7724	26.5238	0.9784	1	8.9767	7.9949	0.4413	0.7713	0.8427	0.2679	1.1047	0.2034	0.2292	0.202	0.0403	0.8156	0.1316	0.1636	0.1677	0.0403	0.2973	0.0709	0.4697	0.3396	0.0403	1.1047	0.3173	0.7195	0.7097	0.6486	0.8406	0.0414	0.7137	0.6999	0.5976	0.9083	0.0597	0.7168	0.6993	0.6088	0.9083	0.0624	0.7162	0.705	0.5976	0.9083	0.0524
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5223	926.07	0.8399	26.9416	18.7789	0.96	0.997	6.6639	5.3244	60.8032	28.1368	0.9651	1	9.9965	7.9861	0.4431	0.6194	0.5971	0.0994	1.2287	0.2579	0.1476	0.0926	0.0226	0.4979	0.1221	0.1317	0.0806	0.0238	0.4979	0.1334	0.3593	0.2693	0.0226	1.2287	0.3052	0.702	0.6948	0.6193	0.8141	0.0439	0.6514	0.656	0.5353	0.739	0.0377	0.6543	0.6607	0.5353	0.739	0.0449	0.6741	0.6712	0.5353	0.8141	0.0477
2021_12_14__40x_onionskinadatped5_best_coarse10x-002.czi	PathCellObject		PathAnnotationObject	Polygon	5327.7	1050.5	0.8395	34.8154	21.3282	0.9618	0.993	7.2572	6.3797	78.8836	31.9023	0.974	1	10.8861	9.5702	0.4413	0.5954	0.5984	0.2859	0.983	0.1506	0.1653	0.1264	0.0266	0.625	0.1152	0.1201	0.1021	0.0277	0.4255	0.0765	0.3567	0.3103	0.0266	0.983	0.2514	0.639	0.643	0.5001	0.7323	0.0379	0.628	0.6363	0.4535	0.756	0.0589	0.6343	0.6389	0.4535	0.756	0.0661	0.6329	0.6386	0.4535	0.756	0.0509
